Wikidata entity,EuropeanaID,HTTP status code
Q2424734,2020718/DR_8868,404
Q2448052,2020718/DR_14345,404
Q2466276,2020718/DR_16930,404
Q2492613,2020718/DR_17365,404
Q2469784,2020718/DR_19875,404
Q2470616,2020718/DR_21465,404
Q2456864,2020718/DR_25668,404
Q2496077,2020718/DR_31051,404
Q2489181,2020718/DR_31590,404
Q2496690,2020718/DR_33067,404
Q2470197,2020718/DR_33272,404
Q2454797,2020718/DR_37172,404
Q2483022,2020718/DR_37544,404
Q2447151,2020718/DR_38270,404
Q2482514,2020718/DR_38308,404
Q2484562,2020718/DR_39639,404
Q2478361,2020718/DR_40320,404
Q2463496,2020718/DR_40413,404
Q2456741,2020718/DR_45950,404
Q2490175,2020718/DR_500767,404
Q2434041,2020718/DR_508774,404
Q2462517,2020718/DR_508929,404
Q2476311,2020718/DR_512080,404
Q2501856,2020718/DR_516312,404
Q2451613,2020718/DR_518043,404
Q2472824,2020718/DR_518450,404
Q2492219,2020718/DR_518790,404
Q2499238,2020718/DR_525261,404
Q2500782,2020718/DR_528829,404
Q2446752,2020718/DR_6820,404
Q2490097,2020718/DR_6958,404
Q2471093,2020718/DR_8152,404
Q2515566,2020718/DR_17890,404
Q2520990,2020718/DR_25465,404
Q2524125,2020718/DR_25833,404
Q2524988,2020718/DR_32844,404
Q2519582,2020718/DR_33096,404
Q2533810,2020718/DR_332375,404
Q2540308,2020718/DR_343878,404
Q2540813,2020718/DR_35880,404
Q2536620,2020718/DR_39076,404
Q2523953,2020718/DR_39860,404
Q2534947,2020718/DR_514903,404
Q2536075,2020718/DR_515568,404
Q2522724,2020718/DR_516100,404
Q2518675,2020718/DR_517738,404
Q2525337,2020718/DR_518154,404
Q2527171,2020718/DR_524743,404
Q2517141,2020718/DR_526708,404
Q2547914,2020718/DR_14624,404
Q2543656,2020718/DR_26453,404
Q2543981,2020718/DR_33851,404
Q2548373,2020718/DR_38369,404
Q2562964,2020718/DR_12907,404
Q2552594,2020718/DR_14043,404
Q2606911,2020718/DR_15574,404
Q2548656,2020718/DR_15626,404
Q2609578,2020718/DR_16819,404
Q2596841,2020718/DR_16842,404
Q2605604,2020718/DR_25303,404
Q2581228,2020718/DR_29921,404
Q2588239,2020718/DR_31830,404
Q2585637,2020718/DR_34006,404
Q2557542,2020718/DR_35753,404
Q2583977,2020718/DR_39607,404
Q2622152,2020718/DR_39629,404
Q2574899,2020718/DR_40048,404
Q2570870,2020718/DR_485374,404
Q2614879,2020718/DR_509700,404
Q2617744,2020718/DR_511950,404
Q2580824,2020718/DR_515050,404
Q2561786,2020718/DR_518104,404
Q2601294,2020718/DR_518719,404
Q2625208,2020718/DR_519116,404
Q2618395,2020718/DR_520049,404
Q2581014,2020718/DR_520105,404
Q2580177,2020718/DR_523469,404
Q2586733,2020718/DR_523627,404
Q2586748,2020718/DR_524735,404
Q2599273,2020718/DR_524882,404
Q2553162,2020718/DR_528861,404
Q2587780,2020718/DR_8725,404
Q2596275,2020718/DR_9795,404
Q2697019,2020718/DR_11287,404
Q2636377,2020718/DR_11545,404
Q2652840,2020718/DR_12507,404
Q2653947,2020718/DR_12700,404
Q2685227,2020718/DR_14074,404
Q2668931,2020718/DR_14593,404
Q2690891,2020718/DR_15304,404
Q2651892,2020718/DR_16045,404
Q2689160,2020718/DR_18513,404
Q2690882,2020718/DR_19449,404
Q2630846,2020718/DR_20786,404
Q2631965,2020718/DR_22934,404
Q2686413,2020718/DR_23773,404
Q2697112,2020718/DR_31204,404
Q2656792,2020718/DR_31484,404
Q2677862,2020718/DR_31952,404
Q2662819,2020718/DR_33005,404
Q2657998,2020718/DR_33106,404
Q2674500,2020718/DR_33509,404
Q2635766,2020718/DR_39419,404
Q2683367,2020718/DR_39803,404
Q2685635,2020718/DR_482937,404
Q2692567,2020718/DR_505651,404
Q2674664,2020718/DR_506129,404
Q2691215,2020718/DR_507544,404
Q2660998,2020718/DR_509927,404
Q2681184,2020718/DR_510730,404
Q2682802,2020718/DR_511671,404
Q2640218,2020718/DR_513238,404
Q2654136,2020718/DR_514153,404
Q2665015,2020718/DR_515898,404
Q2703533,2020718/DR_524511,404
Q2699244,2020718/DR_526151,404
Q2646252,2020718/DR_8589,404
Q2641579,2020718/DR_9291,404
Q2662511,2020718/DR_9356,404
Q2690417,2020718/DR_9996,404
Q2756543,2020718/DR_1107,404
Q2783111,2020718/DR_11709,404
Q2760330,2020718/DR_13583,404
Q2731452,2020718/DR_14202,404
Q2774054,2020718/DR_14402,404
Q2794863,2020718/DR_21201,404
