Wikidata property ID,EDM property
http://www.wikidata.org/prop/P3267,
http://www.wikidata.org/prop/P3849,
http://www.wikidata.org/prop/P461,
http://www.wikidata.org/prop/P486,
http://www.wikidata.org/prop/P807,
http://www.wikidata.org/prop/P989,
http://www.wikidata.org/prop/P1037,
http://www.wikidata.org/prop/P1056,
http://www.wikidata.org/prop/P1301,
http://www.wikidata.org/prop/P1305,
http://www.wikidata.org/prop/P135,
http://www.wikidata.org/prop/P136,
http://www.wikidata.org/prop/P140,
http://www.wikidata.org/prop/P1586,
http://www.wikidata.org/prop/P1669,
http://www.wikidata.org/prop/P1871,
http://www.wikidata.org/prop/P193,
http://www.wikidata.org/prop/P1947,
http://www.wikidata.org/prop/P2424,
http://www.wikidata.org/prop/P2440,
http://www.wikidata.org/prop/P2538,
http://www.wikidata.org/prop/P27,
http://www.wikidata.org/prop/P2929,
http://www.wikidata.org/prop/P3109,
http://www.wikidata.org/prop/P3179,
http://www.wikidata.org/prop/P3183,
http://www.wikidata.org/prop/P3749,
http://www.wikidata.org/prop/P612,
http://www.wikidata.org/prop/P708,
http://www.wikidata.org/prop/P868,
http://www.wikidata.org/prop/P1015,
http://www.wikidata.org/prop/P1255,
http://www.wikidata.org/prop/P1315,
http://www.wikidata.org/prop/P1410,
http://www.wikidata.org/prop/P1454,
http://www.wikidata.org/prop/P1616,
http://www.wikidata.org/prop/P1770,
http://www.wikidata.org/prop/P1801,
http://www.wikidata.org/prop/P2037,
http://www.wikidata.org/prop/P2326,
http://www.wikidata.org/prop/P2333,
http://www.wikidata.org/prop/P238,
http://www.wikidata.org/prop/P2491,
http://www.wikidata.org/prop/P2769,
http://www.wikidata.org/prop/P2789,
http://www.wikidata.org/prop/P2888,
http://www.wikidata.org/prop/P2938,
http://www.wikidata.org/prop/P3006,
http://www.wikidata.org/prop/P3009,
http://www.wikidata.org/prop/P3390,
http://www.wikidata.org/prop/P3407,
http://www.wikidata.org/prop/P3423,
http://www.wikidata.org/prop/P4079,
http://www.wikidata.org/prop/P462,
http://www.wikidata.org/prop/P508,owl:sameAs if URI
http://www.wikidata.org/prop/P585,
http://www.wikidata.org/prop/P618,
http://www.wikidata.org/prop/P648,
http://www.wikidata.org/prop/P69,
http://www.wikidata.org/prop/P722,
http://www.wikidata.org/prop/P825,
http://www.wikidata.org/prop/P1019,
http://www.wikidata.org/prop/P1028,
http://www.wikidata.org/prop/P1044,
http://www.wikidata.org/prop/P1051,
http://www.wikidata.org/prop/P1149,
http://www.wikidata.org/prop/P1248,
http://www.wikidata.org/prop/P1262,
http://www.wikidata.org/prop/P1294,
http://www.wikidata.org/prop/P1368,
http://www.wikidata.org/prop/P1402,
http://www.wikidata.org/prop/P1422,
http://www.wikidata.org/prop/P1483,
http://www.wikidata.org/prop/P1585,
http://www.wikidata.org/prop/P177,
http://www.wikidata.org/prop/P1875,
http://www.wikidata.org/prop/P1946,
http://www.wikidata.org/prop/P200,
http://www.wikidata.org/prop/P2041,
http://www.wikidata.org/prop/P2130,
http://www.wikidata.org/prop/P2137,
http://www.wikidata.org/prop/P2138,
http://www.wikidata.org/prop/P2139,
http://www.wikidata.org/prop/P2238,
http://www.wikidata.org/prop/P2342,
http://www.wikidata.org/prop/P239,
http://www.wikidata.org/prop/P2439,
http://www.wikidata.org/prop/P2520,
http://www.wikidata.org/prop/P2612,
http://www.wikidata.org/prop/P2621,
http://www.wikidata.org/prop/P263,
http://www.wikidata.org/prop/P2671,
http://www.wikidata.org/prop/P2763,
http://www.wikidata.org/prop/P2845,
http://www.wikidata.org/prop/P2900,
http://www.wikidata.org/prop/P2979,
http://www.wikidata.org/prop/P2983,
http://www.wikidata.org/prop/P2986,
http://www.wikidata.org/prop/P2988,
http://www.wikidata.org/prop/P3057,
http://www.wikidata.org/prop/P3065,
http://www.wikidata.org/prop/P3086,
http://www.wikidata.org/prop/P3089,
http://www.wikidata.org/prop/P3223,
http://www.wikidata.org/prop/P3293,
http://www.wikidata.org/prop/P3307,
http://www.wikidata.org/prop/P3503,
http://www.wikidata.org/prop/P3580,
http://www.wikidata.org/prop/P3596,
http://www.wikidata.org/prop/P3601,
http://www.wikidata.org/prop/P3638,
http://www.wikidata.org/prop/P3815,
http://www.wikidata.org/prop/P3904,
http://www.wikidata.org/prop/P3992,
http://www.wikidata.org/prop/P3994,
http://www.wikidata.org/prop/P3997,
http://www.wikidata.org/prop/P418,
http://www.wikidata.org/prop/P452,
http://www.wikidata.org/prop/P488,
http://www.wikidata.org/prop/P495,
http://www.wikidata.org/prop/P553,
http://www.wikidata.org/prop/P577,
http://www.wikidata.org/prop/P61,
http://www.wikidata.org/prop/P631,
http://www.wikidata.org/prop/P701,
http://www.wikidata.org/prop/P773,
http://www.wikidata.org/prop/P841,
http://www.wikidata.org/prop/P921,
http://www.wikidata.org/prop/P102,
http://www.wikidata.org/prop/P106,
http://www.wikidata.org/prop/P1064,
http://www.wikidata.org/prop/P1071,
http://www.wikidata.org/prop/P1110,
http://www.wikidata.org/prop/P1128,
http://www.wikidata.org/prop/P1133,
http://www.wikidata.org/prop/P1138,
http://www.wikidata.org/prop/P1139,
http://www.wikidata.org/prop/P1172,
http://www.wikidata.org/prop/P1188,
http://www.wikidata.org/prop/P1192,
http://www.wikidata.org/prop/P1292,
http://www.wikidata.org/prop/P1323,
