Wikidata entity,EuropeanaID
Q2760330,2020718/DR_13583
Q2731452,2020718/DR_14202
Q2774054,2020718/DR_14402
Q2794863,2020718/DR_21201
Q2705711,2020718/DR_21359
Q2723031,2020718/DR_32720
Q2727254,2020718/DR_332570
Q2749518,2020718/DR_33485
Q2787009,2020718/DR_33813
Q2727577,2020718/DR_33840
Q2785755,2020718/DR_33989
Q2759110,2020718/DR_34025
Q2755635,2020718/DR_36451
Q2716335,2020718/DR_37111
Q2733390,2020718/DR_37142
Q2721081,2020718/DR_37145
Q2791144,2020718/DR_38262
Q2738496,2020718/DR_38644
Q2735271,2020718/DR_38763
Q2707931,2020718/DR_39348
Q2737685,2020718/DR_419583
Q2708448,2020718/DR_42088
Q2741639,2020718/DR_450553
Q2748933,2020718/DR_46005
Q2754161,2020718/DR_499166
Q2734794,2020718/DR_510962
Q2718406,2020718/DR_515088
Q2764092,2020718/DR_515133
Q2774920,2020718/DR_516106
Q2768395,2020718/DR_518714
Q2755882,2020718/DR_522496
Q2748996,2020718/DR_9272
Q2805178,2020718/DR_17488
Q2887618,2020718/DR_18453
Q2863705,2020718/DR_28363
Q2801600,2020718/DR_29967
Q2802691,2020718/DR_33999
Q2840395,2020718/DR_36829
Q2801347,2020718/DR_38872
Q2849460,2020718/DR_39321
Q2895843,2020718/DR_513132
Q2870365,2020718/DR_514194
Q2834264,2020718/DR_517191
Q2837223,2020718/DR_522204
Q2889335,2020718/DR_523486
Q2955386,2020718/DR_14958
Q2964375,2020718/DR_22625
Q2947830,2020718/DR_23768
Q2947074,2020718/DR_26270
Q2912253,2020718/DR_30139
Q2992673,2020718/DR_30780
Q2914578,2020718/DR_33659
Q2927513,2020718/DR_37177
Q2915410,2020718/DR_512506
Q2904795,2020718/DR_513601
Q2927907,2020718/DR_524836
Q2998514,2020718/DR_15363
Q3046486,2020718/DR_18428
Q3023322,2020718/DR_18483
Q3053057,2020718/DR_24000
Q3067367,2020718/DR_25783
Q3037847,2020718/DR_30387
Q3077081,2020718/DR_37153
Q3022944,2020718/DR_527929
Q3088821,2020718/DR_16747
Q3119083,2020718/DR_21180
Q3108692,2020718/DR_21506
Q3101611,2020718/DR_24717
Q3129058,2020718/DR_41931
Q3231380,2020718/DR_24511
Q3228962,2020718/DR_26339
Q3205158,2020718/DR_30389
Q3197428,2020718/DR_37043
Q3237353,2020718/DR_37163
Q3234551,2020718/DR_45459
Q3265490,2020718/DR_11255
Q3305499,2020718/DR_18608
Q3282696,2020718/DR_512164
Q3314277,2020718/DR_517030
Q3282223,2020718/DR_525190
Q3417467,2020718/DR_17209
Q3370496,2020718/DR_20013
Q3344264,2020718/DR_21169
Q3382161,2020718/DR_485805
Q3388916,2020718/DR_519189
Q3420815,2020718/DR_9360
Q3442150,2020718/DR_16101
Q3522105,2020718/DR_30816
Q3499098,2020718/DR_451862
Q3525766,2020718/DR_7647
Q3544953,2020718/DR_484272
Q3580736,2020718/DR_9745
Q3661615,2020718/DR_31418
Q3898134,2020718/DR_31738
Q4027424,2020718/DR_14432
Q3925190,2020718/DR_510509
Q4043758,2020718/DR_33483
Q4302624,2020718/DR_21388
Q4315245,2020718/DR_27956
Q4297615,2020718/DR_520707
Q4335676,2020718/DR_519014
Q4407821,2020718/DR_14649
Q4418602,2020718/DR_16957
Q4442092,2020718/DR_18466
Q4357544,2020718/DR_30546
Q4353983,2020718/DR_39786
Q4367166,2020718/DR_39823
Q4394166,2020718/DR_508691
Q4361310,2020718/DR_512847
Q4347683,2020718/DR_513353
Q4506087,2020718/DR_31816
Q4470086,2020718/DR_35568
Q4533609,2020718/DR_513684
Q4515547,2020718/DR_517608
Q4489372,2020718/DR_518497
Q4648414,2020718/DR_267
Q4612421,2020718/DR_31557
Q4614123,2020718/DR_34570
Q4785709,2020718/DR_22777
Q4879391,2020718/DR_18154
Q4848161,2020718/DR_35677
Q4924617,2020718/DR_507132
Q4990643,2020718/DR_7044
Q5114033,2020718/DR_36005
Q5084570,2020718/DR_37012
Q5165087,2020718/DR_13241
Q5130271,2020718/DR_18730
Q5203073,2020718/DR_28611
Q5204101,2020718/DR_524926
Q5244453,2020718/DR_40091
Q5457950,2020718/DR_35757
Q5376380,2020718/DR_35957
Q5481015,2020718/DR_19579
Q5579446,2020718/DR_46186
Q5825990,2020718/DR_34972
Q7178348,2020718/DR_46886
Q7477683,2020718/DR_2309
Q7478118,2020718/DR_23579
Q7478344,2020718/DR_23832
Q7478244,2020718/DR_23855
Q7478312,2020718/DR_23872
Q7475019,2020718/DR_26467
Q7477564,2020718/DR_34051
Q7478143,2020718/DR_341016
Q7477351,2020718/DR_36685
Q7476485,2020718/DR_39101
Q7477641,2020718/DR_39762
